대분류,중분류,소분류
화학,대기/ 폐기물,환경설비기술
화학,수질/토양,환경설비 기술
화학,수질/토양,환경산업부품․소재기술
화학,대기/ 폐기물,환경산업 부품소재기술
화학,세라믹 재료,화학ㆍ생체 기능재료
화학,정밀화학,화장품/소재
화학,수질/토양,해양오염 방지기술
화학,대기/ 폐기물,폐기물처리 및 재활용 기술
화학,섬유제품,편직기술
화학,고분자 재료,특수기능성 소재기술
화학,수질/토양,토양오염 방지기술
화학,염색가공,침염기술
화학,화학공정,촉매 응용기술
화학,정밀화학,첨가제
화학,화학제품,천연피혁
화학,섬유제조,천연섬유방적
화학,고분자 재료,중합반응/공정기술
화학,섬유제조,중합개질
화학,섬유제조,제직설비
화학,섬유제조,제직기술
화학,화학제품,제지
화학,정밀화학,접착제/실란트
화학,정밀화학,전자산업용 정밀화학소재
화학,고분자 재료,전기ㆍ전자정보용 소재기술
화학,화학제품,인조피혁
화학,정밀화학,의약제제
화학,정밀화학,의약 중간체/원제
화학,섬유제품,의류패션
화학,고분자 재료,의료용 소재기술
화학,섬유제품,융합섬유제품
화학,정밀화학,윤활유
화학,정밀화학,유ㆍ무기재료 및 촉매 제조기술
화학,세라믹 재료,"유리,유약,법랑"
화학,세라믹 재료,원료 및 나노세라믹 분말
화학,염색가공,염색설비
화학,정밀화학,염/안료 및 중간체
화학,고분자 재료,에너지ㆍ환경산업용 소재기술
화학,세라믹 재료,"시멘트,콘크리트,내화물"
화학,수질/토양,수질오염 방지기술
화학,세라믹 재료,세라믹제조공정기술
화학,섬유제품,섬유제품설비
화학,섬유제조,섬유방사
화학,화학공정,석유화학 부산물 응용기술
화학,섬유제품,산업용섬유제품
화학,섬유제조,산업용 섬유제조기술
화학,염색가공,사염기술
화학,섬유제조,사가공설비
화학,섬유제조,사가공기술
화학,섬유제품,부직포제조
화학,섬유제품,부직포가공기술
화학,섬유제품,봉제기술
화학,고분자 재료,복합재료제조기술
화학,섬유제조,방사설비
화학,염색가공,물리ㆍ화학적 가공기술
화학,세라믹 재료,"도자기,타일 등"
화학,정밀화학,도료/코팅제
화학,대기/ 폐기물,대기오염 방지기술
화학,세라믹 재료,단결정
화학,정밀화학,농약제제
화학,정밀화학,농약 중간체/원제
화학,염색가공,날염기술
화학,정밀화학,나노응용기술
화학,고분자 재료,나노소재기술
화학,세라믹 재료,나노세라믹 복합재료기술
화학,섬유제품,나노섬유제품기술
화학,섬유제조,나노섬유제조기술
화학,대기/ 폐기물,기타 환경산업기술
화학,수질/토양,기타 환경산업기술
화학,화학제품,기타 화학제품
화학,화학공정,기타 화학공정
화학,정밀화학,기타 합성응용제품
화학,염색가공,기타 염색가공
화학,세라믹 재료,기타 세라믹재료
화학,섬유제품,기타 섬유제품기술
화학,섬유제조,기타 섬유제조
화학,고분자 재료,기타 고분자 재료
화학,화학공정,기초유기소재공정기술
화학,화학공정,기초무기소재공정기술
화학,세라믹 재료,광ㆍ전자세라믹스
화학,화학공정,공정시스템기술
화학,화학공정,공정설비기술
화학,고분자 재료,고분자가공기술
화학,고분자 재료,고분자 재활용기술
화학,화학제품,고무(타이어포함)
화학,세라믹 재료,고강도ㆍ열 기능재료
화학,정밀화학,계면활성제
화학,고분자 재료,개질기술
화학,정밀화학,감광재료
화학,염색가공,가먼트염색기술
화학,염색가공,가공설비
정보통신,RFID/USN,활용서비스 플랫홈 및 응용SW
정보통신,홈네트워크,홈네트워크 정보보호
정보통신,홈네트워크,홈네트워크 응용 및 서비스 기술
정보통신,홈네트워크,홈네트워크 기기
정보통신,ITS/텔레매틱스,텔레매틱스 응용서비스
정보통신,ITS/텔레매틱스,텔레매틱스 단말 및 기기
정보통신,위성-전파,탑제체 및 관제
정보통신,디지털 콘텐츠,콘텐츠 창작 기획
정보통신,디지털 콘텐츠,컴퓨터 그래픽
정보통신,홈네트워크,지능형 정보가전
정보통신,지식정보보안,정보보안
정보통신,위성-전파,전자파기기
정보통신,위성-전파,전자파 진단 및 방호
정보통신,광대역 통합망,전달망
정보통신,소프트웨어,임베디드 SW
정보통신,이동통신,이동통신 시스템
정보통신,이동통신,이동통신 서비스
정보통신,정보통신 모듈 및 부품,이동통신 모듈 및 부품
정보통신,이동통신,이동통신 단말기
정보통신,지식정보보안,융합보안
정보통신,홈네트워크,유ㆍ무선 홈네트워킹 기술
정보통신,정보통신 모듈 및 부품,위성ㆍ방송 모듈 및 부품
정보통신,위성-전파,위성항법
정보통신,위성-전파,위성통신ㆍ방송 전송
정보통신,위성-전파,위성통신ㆍ방송 단말
정보통신,정보통신 모듈 및 부품,안테나 모듈 및 부품
정보통신,광대역 통합망,서비스 및 제어
정보통신,U-컴퓨팅,서버기술
정보통신,지식정보보안,물리보안
정보통신,RFID/USN,모바일-RFID
정보통신,정보통신 모듈 및 부품,멀티미디어 모듈 및 부품
정보통신,디지털 콘텐츠,디지털 콘텐츠 제작 및 유통
정보통신,디지털 방송,디지털 방송 통방융합
정보통신,디지털 방송,디지털 방송 콘텐츠
정보통신,디지털 방송,디지털 방송 이동방송
정보통신,디지털 방송,디지털 방송 실감방송
정보통신,디지털 방송,디지털 방송 서비스
정보통신,디지털 방송,디지털 방송 매체
정보통신,디지털 방송,디지털 방송 단말
정보통신,이동통신,기타 이동통신기기
정보통신,정보통신 모듈 및 부품,광통신모듈및부품
정보통신,디지털 콘텐츠,게임 및 u-러닝
정보통신,광대역 통합망,가입자망
정보통신,디지털 콘텐츠,가상현실
정보통신,U-컴퓨팅,U-컴퓨팅 플랫홈 및 응용기술
정보통신,U-컴퓨팅,U-컴퓨팅 기기 및 주변기기
정보통신,RFID/USN,USN기술
정보통신,소프트웨어,SystemIntegration
정보통신,소프트웨어,SW솔루션
정보통신,RFID/USN,RFID기술
정보통신,RFID/USN,RFID/USN서비스
정보통신,ITS/텔레매틱스,ITS응용서비스
정보통신,ITS/텔레매틱스,ITS단말 및 기기
정보통신,소프트웨어,InternetSW
정보통신,위성-전파,EMI/EMC
전기&전자,영상/음향기기,휴대용 AV기기
전기&전자,계측기기,환경계측기
